S. No.,DISTRICT,Actual(mm),Normal(mm),Deviation(%) from normal,Year
1,ARARIA,169.1,-,-,2013
2,ARWAL,76.9,-,-,2013
3,AURANGABAD,63,87.2,-27.83,2013
4,BANKA,118.9,-,-,2013
5,BEGUSARAI,75.1,89.1,-15.75,2013
6,BHAGALPUR,108.8,100.7,7.98,2013
7,BHOJPUR,80.2,85.7,-6.38,2013
8,BUXAR,70.5,79.5,-11.34,2013
9,DARBHANGA,69.6,96.4,-27.85,2013
10,GAYA,73.3,90.6,-19.07,2013
11,GOPALGANJ,81.8,90.9,-10.02,2013
12,JAMUI,95.6,-,-,2013
13,JEHANABAD,78.4,-,-,2013
14,KAIMUR (BHABUA),76.9,97,-20.72,2013
15,KATIHAR,124.8,115.6,7.99,2013
16,KHAGARIA,99.5,102.8,-3.15,2013
17,KISHANGANJ,210.7,178.5,18.05,2013
18,LAKHISARAI,74.7,-,-,2013
19,MADHEPURA,122.7,117.6,4.33,2013
20,MADHUBANI,82.3,98.8,-16.71,2013
21,MUNGER,106,95.5,10.94,2013
22,MUZAFFARPUR,66.2,99.9,-33.72,2013
23,NALANDA,70,86.4,-19,2013
24,NAWADA,77.9,-,-,2013
25,PASHCHIM CHAMPARAN,89.6,126.3,-29.01,2013
26,PATNA,72.5,88,-17.6,2013
27,PURBA CHAMPARAN,90.8,100.2,-9.4,2013
28,PURNIA,141,123.8,13.95,2013
29,ROHTAS,69.8,93.1,-25.06,2013
30,SAHARSA,102.2,108.5,-5.73,2013
31,SAMASTIPUR,69.8,93.3,-25.17,2013
32,SARAN (CHHAPRA),68.4,96.8,-29.35,2013
33,SHEIKHPURA,76.5,-,-,2013
34,SHEOHAR,66.9,-,-,2013
35,SITAMARHI,63.3,108.2,-41.5,2013
36,SIWAN,68.6,94.2,-27.15,2013
37,SUPAUL,142.9,108.5,31.74,2013
38,VAISHALI,59.9,-,-,2013
39,TOTAL,91.2,101.9,-10.5,2013
40,ARARIA,123.7,-,-,2014
41,ARWAL,61.5,-,-,2014
42,AURANGABAD,70.1,87.2,-19.66,2014
43,BANKA,99.8,-,-,2014
44,BEGUSARAI,114.9,89.1,28.92,2014
45,BHAGALPUR,99.5,100.7,-1.24,2014
46,BHOJPUR,63.4,85.7,-26.01,2014
47,BUXAR,56.9,79.5,-28.45,2014
48,DARBHANGA,97.5,96.4,1.13,2014
49,GAYA,91,90.6,0.49,2014
50,GOPALGANJ,80.9,90.9,-11,2014
51,JAMUI,95.1,-,-,2014
52,JEHANABAD,81.2,-,-,2014
53,KAIMUR (BHABUA),59.1,97,-39.11,2014
54,KATIHAR,114.1,115.6,-1.25,2014
55,KHAGARIA,103.7,102.8,0.93,2014
56,KISHANGANJ,179.9,178.5,0.8,2014
57,LAKHISARAI,114.2,-,-,2014
58,MADHEPURA,93.4,117.6,-20.59,2014
59,MADHUBANI,101.1,98.8,2.41,2014
60,MUNGER,107.5,95.5,12.52,2014
61,MUZAFFARPUR,89.5,99.9,-10.39,2014
62,NALANDA,93.9,86.4,8.66,2014
63,NAWADA,85,-,-,2014
64,PASHCHIM CHAMPARAN,99.8,126.3,-20.97,2014
65,PATNA,92.7,88,5.39,2014
66,PURBA CHAMPARAN,109.9,100.2,9.69,2014
67,PURNIA,111.4,123.8,-9.95,2014
68,ROHTAS,56.5,93.1,-39.26,2014
69,SAHARSA,92.2,108.5,-14.98,2014
70,SAMASTIPUR,101,93.3,8.25,2014
71,SARAN (CHHAPRA),82.6,96.8,-14.74,2014
72,SHEIKHPURA,100.8,-,-,2014
73,SHEOHAR,90.4,-,-,2014
74,SITAMARHI,87.8,108.2,-18.82,2014
75,SIWAN,63.5,94.2,-32.57,2014
76,SUPAUL,98.9,108.5,-8.85,2014
77,VAISHALI,88.8,-,-,2014
78,TOTAL,93.4,101.9,-8.29,2014
79,ARARIA,124.3,-,-,2015
80,ARWAL,62.8,-,-,2015
81,AURANGABAD,73.4,87.2,-15.87,2015
82,BANKA,100.1,-,-,2015
83,BEGUSARAI,104,89.1,16.67,2015
84,BHAGALPUR,95.3,100.7,-5.38,2015
85,BHOJPUR,59.8,85.7,-30.18,2015
86,BUXAR,77.6,79.5,-2.48,2015
87,DARBHANGA,80.4,96.4,-16.63,2015
88,GAYA,68.8,90.6,-24.02,2015
89,GOPALGANJ,72.1,90.9,-20.65,2015
90,JAMUI,85.9,-,-,2015
91,JEHANABAD,57,-,-,2015
92,KAIMUR (BHABUA),77.3,97,-20.35,2015
93,KATIHAR,107.2,115.6,-7.26,2015
94,KHAGARIA,112.4,102.8,9.39,2015
95,KISHANGANJ,162.9,178.5,-8.71,2015
96,LAKHISARAI,80.6,-,-,2015
97,MADHEPURA,76.2,117.6,-35.24,2015
98,MADHUBANI,82.3,98.8,-16.69,2015
99,MUNGER,108.4,95.5,13.49,2015
100,MUZAFFARPUR,64.4,99.9,-35.52,2015
101,NALANDA,61,86.4,-29.37,2015
102,NAWADA,69.1,-,-,2015
103,PASHCHIM CHAMPARAN,80.8,126.3,-36.01,2015
104,PATNA,64.3,88,-26.96,2015
105,PURBA CHAMPARAN,88.8,100.2,-11.36,2015
106,PURNIA,102.7,123.8,-17.05,2015
107,ROHTAS,90.2,93.1,-3.08,2015
108,SAHARSA,70.8,108.5,-34.69,2015
109,SAMASTIPUR,81,93.3,-13.23,2015
110,SARAN (CHHAPRA),56.7,96.8,-41.43,2015
111,SHEIKHPURA,66.6,-,-,2015
112,SHEOHAR,65.6,-,-,2015
113,SITAMARHI,60.8,108.2,-43.84,2015
114,SIWAN,53.5,94.2,-43.17,2015
115,SUPAUL,89.5,108.5,-17.53,2015
116,VAISHALI,67.2,-,-,2015
117,TOTAL,82.4,101.9,-19.12,2015
118,ARARIA,152.7,-,-,2016
119,ARWAL,102,-,-,2016
120,AURANGABAD,114.1,87.2,30.75,2016
121,BANKA,86.9,-,-,2016
122,BEGUSARAI,75.5,89.1,-15.32,2016
123,BHAGALPUR,85.4,100.7,-15.19,2016
124,BHOJPUR,88.2,85.7,2.87,2016
125,BUXAR,101.4,79.5,27.52,2016
126,DARBHANGA,105.6,96.4,9.51,2016
127,GAYA,103.5,90.6,14.29,2016
128,GOPALGANJ,81.8,90.9,-9.98,2016
129,JAMUI,102.1,-,-,2016
130,JEHANABAD,88.7,-,-,2016
131,KAIMUR (BHABUA),91.4,97,-5.81,2016
132,KATIHAR,109.7,115.6,-5.08,2016
133,KHAGARIA,83.8,102.8,-18.48,2016
134,KISHANGANJ,211.2,178.5,18.34,2016
135,LAKHISARAI,81.5,-,-,2016
136,MADHEPURA,112.5,117.6,-4.35,2016
137,MADHUBANI,107.4,98.8,8.75,2016
138,MUNGER,71.3,95.5,-25.35,2016
139,MUZAFFARPUR,80.9,99.9,-18.96,2016
140,NALANDA,97.1,86.4,12.37,2016
141,NAWADA,89.9,-,-,2016
142,PASHCHIM CHAMPARAN,104.9,126.3,-16.92,2016
143,PATNA,104.8,88,19.12,2016
144,PURBA CHAMPARAN,74.3,100.2,-25.84,2016
145,PURNIA,124.2,123.8,0.37,2016
146,ROHTAS,108.5,93.1,16.51,2016
147,SAHARSA,96.7,108.5,-10.82,2016
148,SAMASTIPUR,115,93.3,23.19,2016
149,SARAN (CHHAPRA),84.6,96.8,-12.64,2016
150,SHEIKHPURA,90.1,-,-,2016
151,SHEOHAR,58,-,-,2016
152,SITAMARHI,101,108.2,-6.64,2016
153,SIWAN,76.7,94.2,-18.55,2016
154,SUPAUL,151.4,108.5,39.63,2016
155,VAISHALI,90.7,-,-,2016
156,TOTAL,102.1,101.9,0.27,2016
157,ARARIA,162.1,-,-,2017
158,ARWAL,52.2,-,-,2017
159,AURANGABAD,69,87.2,-20.91,2017
160,BANKA,96,-,-,2017
161,BEGUSARAI,84.1,89.1,-5.61,2017
162,BHAGALPUR,124.4,100.7,23.52,2017
163,BHOJPUR,60.3,85.7,-29.69,2017
164,BUXAR,69.4,79.5,-12.72,2017
165,DARBHANGA,120.3,96.4,24.81,2017
166,GAYA,71.3,90.6,-21.27,2017
167,GOPALGANJ,59.5,90.9,-34.54,2017
168,JAMUI,96.4,-,-,2017
169,JEHANABAD,76.5,-,-,2017
170,KAIMUR (BHABUA),63.7,97,-34.39,2017
171,KATIHAR,131.7,115.6,13.95,2017
172,KHAGARIA,108.7,102.8,5.72,2017
173,KISHANGANJ,191.4,178.5,7.26,2017
174,LAKHISARAI,77,-,-,2017
175,MADHEPURA,110.2,117.6,-6.34,2017
176,MADHUBANI,120.6,98.8,22.14,2017
177,MUNGER,86.2,95.5,-9.7,2017
178,MUZAFFARPUR,85,99.9,-14.92,2017
179,NALANDA,75.7,86.4,-12.38,2017
180,NAWADA,77.7,-,-,2017
181,PASHCHIM CHAMPARAN,131.1,126.3,3.79,2017
182,PATNA,85.4,88,-2.97,2017
